subject,age,gender,educ,ses,engL1,answer,rating,condition,task,play_type,explanation
42,36,m,Four-year college degree,In the middle,"Yes, English is my first language.","An icy situation in the Windy City, a woman there is suing for $5 million for false advertising over a drink she feels didn't have the advertised amount of liquid in it.",more,Baseline,Starbucks Ice,wp,icy
45,35,m,Completed High School,Near the bottom,"Yes, English is my first language.",Slithering octopus gives New Zealand Aquarium the slip.,more,Metaphor,Inky the Octopus,wp,slip
54,30,m,Four-year college degree,Near the bottom,"No, English is not my first language.",Suing $5 million for putting too much on drinks? Sounds legit.,more,Baseline,Starbucks Ice,irony,understatement
56,54,m,Two-year college degree,Near the bottom,"Yes, English is my first language.",Looks like Inky's pipe dream really came true.,more,Sarcasm,Inky the Octopus,wp,pipe dream
59,29,f,Four-year college degree,In the middle,"No, English is not my first language.",How many hands will they need to find him!,equal,Sarcasm,Inky the Octopus,wp,hands
62,23,f,Completed High School,Near the bottom,"Yes, English is my first language.",Inky the Octopus managed to escape from a national aquarium by outsmarting eight legs worth of people with eight legs worth of octopus.,more,Sarcasm,Inky the Octopus,wp,legs
63,46,f,Four-year college degree,Near the top,"Yes, English is my first language.",Starbucks may see their profits melting away over ice dispute.,more,Baseline,Starbucks Ice,wp,melting
72,45,f,Completed High School,In the middle,"Yes, English is my first language.",Inky was very slick in getting away.,more,Sarcasm,Inky the Octopus,wp,slick
75,35,f,Four-year college degree,In the middle,"Yes, English is my first language.","Starbucks iced drinks are meant to cool you off, but one Chicago woman was steamed at the amount of liquid in the drinks.",more,Baseline,Starbucks Ice,wp,steamed
87,34,m,Four-year college degree,Near the bottom,"Yes, English is my first language.",A Chicago woman is trying to put Starbucks on ice after she claims they shorted her on the amount of liquid in her icy beverage.,more,Baseline,Starbucks Ice,wp,on ice
95,37,f,Master's or equivalent professional degree,Near the bottom,"Yes, English is my first language.",I guess Inky is just a regular Houdini!,more,Sarcasm & Metaphor,Inky the Octopus,compare,escape artist
119,34,m,Two-year college degree,On the bottom,"Yes, English is my first language.",We have a tentacle of a problem after Inky the  Octopus escaped from the national aquarium thru a 5-inch-wide drainage pipe and is on his way to the sea where he normally belongs.,more,Baseline,Inky the Octopus,wp,tentacle
123,39,f,Master's or equivalent professional degree,In the middle,"Yes, English is my first language.",One woman says Starbucks drinks are all they claim to be.,less,Metaphor,Starbucks Ice,irony,analogy
124,62,f,Master's or equivalent professional degree,In the middle,"Yes, English is my first language.","All those arms came in handy for one escaping octopus, the sea is where it wanted to be.",more,Baseline,Inky the Octopus,wp,handy
130,28,f,Four-year college degree,In the middle,"Yes, English is my first language.",Is your coffee shop robbing you of your liquid gold?,more,Metaphor,Starbucks Ice,compare,coffee = gold
132,39,f,Four-year college degree,Near the bottom,"Yes, English is my first language.","Apparently when she said she wanted an iced drink, she should have told them to hold the ice.",equal,Metaphor,Starbucks Ice,irony,sarcasm
133,28,m,Four-year college degree,In the middle,"Yes, English is my first language.",Inky seems like a slippery guy,less,Metaphor,Inky the Octopus,wp,slippery
134,35,m,Four-year college degree,In the middle,"Yes, English is my first language.",Starbucks really put her on ice.,more,Metaphor,Starbucks Ice,wp,on ice
138,59,f,Two-year college degree,In the middle,"Yes, English is my first language.",Inky should change is name to Houdini.,more,Metaphor,Inky the Octopus,compare,escape artist
140,33,f,Four-year college degree,In the middle,"Yes, English is my first language.","New Zealand is officially the setting for the real world version of ""Finding Nemo""... because clever Inky is now an OUT-opus!",more,Metaphor,Inky the Octopus,compare & wp,out-pus
149,53,f,Two-year college degree,Near the bottom,"Yes, English is my first language.",She must already be a cold person and not need additional ice!,more,Metaphor,Starbucks Ice,wp,cold
150,35,m,Two-year college degree,In the middle,"Yes, English is my first language.","Wow, I have an INKLING that Inky really wanted to get back out to the sea!",more,Metaphor,Inky the Octopus,wp,inkling/inky
153,59,f,Master's or equivalent professional degree,Near the bottom,"Yes, English is my first language.",Inky is slinky.,more,Metaphor,Inky the Octopus,wp,inky/slinky
155,56,m,Four-year college degree,Near the top,"Yes, English is my first language.",It appears Starbucks may be more like star pennies,more,Metaphor,Starbucks Ice,wp,star pennies
157,40,f,Four-year college degree,Near the top,"Yes, English is my first language.",Is that Starbucks drink leaving you feeling cold? This woman is suing the company over too much ice!,more,Metaphor,Starbucks Ice,wp,cold
160,25,f,Completed High School,In the middle,"Yes, English is my first language.","Sounds like that octopus was ""well armed""",more,Sarcasm,Inky the Octopus,wp,armed
174,26,m,Two-year college degree,Near the bottom,"Yes, English is my first language.",Things just got heated and it's not the ice in her starbucks drink.,more,Metaphor,Starbucks Ice,wp,heated
188,40,m,Completed High School,In the middle,"Yes, English is my first language.",seems like they are icing the customers,more,Metaphor,Starbucks Ice,wp,icing
190,60,m,Four-year college degree,In the middle,"Yes, English is my first language.","Looks like he got all hands, or in this case, all 8 legs, on deck.",more,Sarcasm & Metaphor,Inky the Octopus,wp,hands/legs
191,64,f,Two-year college degree,Near the bottom,"Yes, English is my first language.",Eight legs came in handy when this aquatic creature decided to make its escape from aquarium to ocean.,more,Sarcasm & Metaphor,Inky the Octopus,wp,handy
191,64,f,Two-year college degree,Near the bottom,"Yes, English is my first language.",Starbucks in lawsuit with Chicago woman who claims she was iced on her beverage.,more,Metaphor,Starbucks Ice,wp,iced
192,32,f,Two-year college degree,In the middle,"Yes, English is my first language.",I have an INKling that the octopus is happier now.,more,Sarcasm & Metaphor,Inky the Octopus,wp,inkling/inky
194,35,m,Four-year college degree,In the middle,"Yes, English is my first language.",Star Bucks getting the cold shoulder from woman.,more,Metaphor,Starbucks Ice,wp,cold shoulder
196,26,m,Completed High School,Near the bottom,"Yes, English is my first language.",I think she needs to chiiiiill.,more,Metaphor,Starbucks Ice,wp,chill
206,33,f,Two-year college degree,In the middle,"Yes, English is my first language.",Now that's just cold.,more,Metaphor,Starbucks Ice,wp,cold
211,31,m,Four-year college degree,Near the bottom,"Yes, English is my first language.",this womans sounds liek she is in for an ice cool greeting at her local Starbucks,more,Sarcasm,Starbucks Ice,wp,ice cool
213,35,m,Completed High School,Near the bottom,"Yes, English is my first language.",Sounds like she is thirsty for justice.,more,Sarcasm,Starbucks Ice,wp,thirsy
215,27,m,Four-year college degree,In the middle,"Yes, English is my first language.","Breaking news! We have a major alleged incident involving a fortune 500 company and a lawsuit from one individual alone demanding 5 million dollars! This company serves millions of customers a day all around the globe, what could this lawsuit mean for the industry? Stay tuned for our expert analysis segment and we will breakdown the cold hard truth! Right after these messages from our sponsors.",more,Sarcasm,Starbucks Ice,wp,cold hard truth
216,21,m,Four-year college degree,In the middle,"Yes, English is my first language.",I think starbucks is worth every ounce in gold.,more,Sarcasm,Starbucks Ice,compare,coffee = gold
217,35,f,Master's or equivalent professional degree,In the middle,"Yes, English is my first language.",It was the case of the 'Inky Octopus Escape' at the New Zealand Aquarium today.  The 8 armed bandit slithered his way to freedom. Stay here to find out more about how he did it.,more,Baseline,Inky the Octopus,compare,prisoner
217,35,f,Master's or equivalent professional degree,In the middle,"Yes, English is my first language.",The 24 ounce ice-lie that starbucks is telling us?,more,Sarcasm,Starbucks Ice,NA,NA
225,40,m,Four-year college degree,In the middle,"Yes, English is my first language.",Woman ices Starbucks to the tune of $5 million.,more,Sarcasm,Starbucks Ice,wp,ices
229,31,m,Completed High School,Near the bottom,"Yes, English is my first language.",Starbucks finds itself in hot coffee today as a Chicago woman has filed a $5 million lawsuit against the company for served 14 ounce drinks labelled at 24 ounce.,more,Sarcasm,Starbucks Ice,wp,hot
232,52,f,Two-year college degree,In the middle,"Yes, English is my first language.","I think Inky is the new Houdini, and he's pretty smart at that.  Sounds like poor old Inky wanted to go back to his real home.",more,Baseline,Inky the Octopus,compare,escape artist
237,41,f,Two-year college degree,In the middle,"Yes, English is my first language.",On thin Ice: How one litigation-happy woman has turned a cold shoulder to consumer favorite Starbucks.,more,Sarcasm,Starbucks Ice,wp,cold shoulder
237,41,f,Two-year college degree,In the middle,"Yes, English is my first language.",Too many arms: a brazen escape.,equal,Baseline,Inky the Octopus,compare,sounds like a movie title
240,60,m,Four-year college degree,Near the bottom,"Yes, English is my first language.",Perhaps this will finally lay to rest when a glass is half empty or half full legally,more,Sarcasm,Starbucks Ice,NA,NA
244,42,f,Four-year college degree,In the middle,"Yes, English is my first language.","Should you see the fugitive, do not approach. He is armed.",more,Metaphor,Inky the Octopus,wp & compare,armed
244,42,f,Four-year college degree,In the middle,"Yes, English is my first language.",That's a latte money to be asking for. She seems quite steamed.,more,Sarcasm,Starbucks Ice,wp & compare,steamed polysemy
246,36,f,Master's or equivalent professional degree,In the middle,"Yes, English is my first language.","Wow, it sounds like this woman has an icy disposition and is stone cold serious about getting her money's worth at Starbucks!",more,Sarcasm,Starbucks Ice,wp,ice and cold
251,36,f,Four-year college degree,In the middle,"Yes, English is my first language.","Clearly, Starbucks doesn't want to be in hot water.",more,Sarcasm,Starbucks Ice,wp,hot
252,61,f,Four-year college degree,Near the top,"Yes, English is my first language.",Many arms make light work.,more,Metaphor,Inky the Octopus,wp,arms
257,42,f,Four-year college degree,In the middle,"Yes, English is my first language.",This Chicago lady needs to chill.,more,Sarcasm,Starbucks Ice,wp,chill
261,30,f,Two-year college degree,In the middle,"Yes, English is my first language.","What one Chicago woman did when she realized that her glass was... half-empty, details coming up.",more,Sarcasm,Starbucks Ice,NA,NA
262,32,f,Two-year college degree,In the middle,"Yes, English is my first language.",You could say she's giving Starbucks the cold shoulder.,more,Sarcasm,Starbucks Ice,wp,cold shoulder
263,32,m,Four-year college degree,In the middle,"Yes, English is my first language.","The woman, named Archimedes, said that she was filing the lawsuit on principle.",more,Sarcasm,Starbucks Ice,compare,mathematician
265,24,m,Four-year college degree,In the middle,"Yes, English is my first language.",Sounds like some zookeepers are going to be octopied finding it.,more,Metaphor,Inky the Octopus,wp,occupied/octopied
266,41,m,Four-year college degree,In the middle,"Yes, English is my first language.",Chicago woman behaving icy to starbucks.,more,Sarcasm,Starbucks Ice,wp,icy
269,44,f,Two-year college degree,Near the bottom,"Yes, English is my first language.","They could have also called him Thinky, he is smart!",more,Sarcasm,Inky the Octopus,wp,inky/thinky
269,44,f,Two-year college degree,Near the bottom,"Yes, English is my first language.","This woman sure is hot, they were trying to help her with some ice.",more,Sarcasm,Starbucks Ice,wp,hot
272,36,m,Four-year college degree,Near the bottom,"Yes, English is my first language.",This lady is getting heated up over ice.,more,Sarcasm,Starbucks Ice,wp,heated
277,34,f,Completed High School,In the middle,"Yes, English is my first language.",So Inky the octopus has decided to make a squeeze for it.,more,Sarcasm,Inky the Octopus,wp,squeeze
279,37,m,Four-year college degree,Near the top,"Yes, English is my first language.","Hopefully , the aquarium owners can get a hold of this slippery situation.",more,Sarcasm,Inky the Octopus,wp,slippery
284,42,m,Completed High School,In the middle,"Yes, English is my first language.",That Chicago woman is ice cold!,more,Sarcasm,Starbucks Ice,wp,ice cold
290,26,m,Four-year college degree,On the bottom,"Yes, English is my first language.",Starbucks drinks must be made out of gold.,more,Sarcasm,Starbucks Ice,compare,coffee = gold
293,30,m,Two-year college degree,Near the bottom,"Yes, English is my first language.","Starbucks, more like Scambucks!",more,Sarcasm,Starbucks Ice,wp,scambucks
295,36,f,Completed High School,Near the bottom,"Yes, English is my first language.",Sound like a real fish out of the water situation to me!,more,Sarcasm & Metaphor,Inky the Octopus,wp,fish out of water
295,36,f,Completed High School,Near the bottom,"Yes, English is my first language.",Sounds to me like Starbucks got no chill.,more,Sarcasm,Starbucks Ice,wp,chill
296,43,m,Two-year college degree,Near the bottom,"Yes, English is my first language.","Sounds like the aquarium is going to need to send out an ""octo-posse"" to bring him back home!",more,Sarcasm & Metaphor,Inky the Octopus,wp,octo-posse
296,43,m,Two-year college degree,Near the bottom,"Yes, English is my first language.",This woman needs to stand her ground  - her coffee ground!,more,Sarcasm,Starbucks Ice,wp,ground
298,35,f,Completed High School,Near the bottom,"Yes, English is my first language.",You've got to be squidding me!,equal,Sarcasm & Metaphor,Inky the Octopus,wp,kid/squid
298,35,f,Completed High School,Near the bottom,"Yes, English is my first language.",That's not the kind of ice I'd pay millions for.,equal,Sarcasm,Starbucks Ice,wp,ice
303,49,m,Completed High School,Near the bottom,"Yes, English is my first language.","I think she's looking to ""Buck"" the system, but maybe she'll get enough news coverage to be a ""Star"" for a few days.",more,Sarcasm,Starbucks Ice,wp,star and buck
306,33,m,Completed High School,Near the bottom,"Yes, English is my first language.",Put this one on ice: Lawsuit finds starbucks in trouble over it's ice coffee.,more,Sarcasm,Starbucks Ice,wp,on ice
311,25,f,Two-year college degree,Near the bottom,"Yes, English is my first language.",Octopus says Octobye.,more,Sarcasm & Metaphor,Inky the Octopus,wp,octobye
314,36,m,Two-year college degree,In the middle,"Yes, English is my first language.",INKY INKY what where you THINKY!!!,more,Sarcasm & Metaphor,Inky the Octopus,wp,inky/thinky
314,36,m,Two-year college degree,In the middle,"Yes, English is my first language.",I guess she wanted more ICE ICE BABY!,more,Sarcasm,Starbucks Ice,compare,she is vanilla ice
326,68,m,Completed High School,In the middle,"Yes, English is my first language.",Harry Houdini has fulfilled his prediction and returned as an Octopus!,more,Baseline,Inky the Octopus,compare,escape artist
327,43,f,Four-year college degree,In the middle,"Yes, English is my first language.",This woman wants more drink for her buck at Starbucks.,equal,Sarcasm & Metaphor,Starbucks Ice,wp,buck
330,29,m,Four-year college degree,Near the bottom,"Yes, English is my first language.",I'm sure the staff must have inked themselves when they found out.,more,Baseline,Inky the Octopus,wp,inked
331,48,f,Four-year college degree,In the middle,"Yes, English is my first language.",Slippery squid gives captors the slip.,more,Baseline,Inky the Octopus,wp,slip
333,62,f,Completed High School,Near the bottom,"Yes, English is my first language.",Looks like Inky was up in arms over his captivity and chose freedom.,more,Baseline,Inky the Octopus,wp,arms
336,37,f,Four-year college degree,In the middle,"Yes, English is my first language.",I bet Starbucks would like to put her on ice.,more,Sarcasm & Metaphor,Starbucks Ice,wp,on ice
340,66,m,Completed High School,Near the bottom,"Yes, English is my first language.",She wouldn't take any watered-down excuses.,more,Sarcasm & Metaphor,Starbucks Ice,wp,watered down
342,37,m,Four-year college degree,In the middle,"Yes, English is my first language.",Chicago woman lost her cool with Starbuck after finding too much ice in her drink.,more,Sarcasm & Metaphor,Starbucks Ice,wp,lost cool
343,37,m,Completed High School,In the middle,"Yes, English is my first language.",I think he inked out a solution and followed it.,more,Baseline,Inky the Octopus,wp,inked
345,35,m,Four-year college degree,Near the bottom,"Yes, English is my first language.",That sounds like a slippery situation!,more,Baseline,Inky the Octopus,wp,slippery
345,35,m,Four-year college degree,Near the bottom,"Yes, English is my first language.",Starbucks is getting the cold shoulder.,more,Sarcasm & Metaphor,Starbucks Ice,wp,cold shoulder
350,33,m,Four-year college degree,In the middle,"Yes, English is my first language.",That's quite the cold comfort.,more,Sarcasm & Metaphor,Starbucks Ice,wp,cold comform
351,28,f,Master's or equivalent professional degree,In the middle,"Yes, English is my first language.",I think the lawsuit is probably... on ice!,more,Sarcasm & Metaphor,Starbucks Ice,wp,on ice
360,28,f,Two-year college degree,In the middle,"Yes, English is my first language.",A woman's icy response to starbucks drinks turns heads.,more,Sarcasm & Metaphor,Starbucks Ice,wp,ice
361,20,m,Completed High School,Near the bottom,"Yes, English is my first language.",I GUESS THEY NEED TO PUT THIS CASE ON ICE,more,Sarcasm & Metaphor,Starbucks Ice,wp,on ice
362,32,m,Four-year college degree,Near the bottom,"Yes, English is my first language.",Finally someone has the time to go after these ice-mongers!,more,Sarcasm & Metaphor,Starbucks Ice,irony,exaggeration
365,33,m,Four-year college degree,In the middle,"Yes, English is my first language.","A Chicago woman is suing Starbucks over the size of their drinks, does Starbucks have a venti sized problem.",more,Sarcasm & Metaphor,Starbucks Ice,wp,venti
367,48,f,Four-year college degree,In the middle,"Yes, English is my first language.","Well, thats just really cold.",more,Sarcasm & Metaphor,Starbucks Ice,wp,cold
368,33,f,Four-year college degree,Near the top,"Yes, English is my first language.",It's crazy what people will do to get a buck these days!,equal,Sarcasm & Metaphor,Starbucks Ice,wp,buck
369,55,f,Completed High School,In the middle,"Yes, English is my first language.","Starbucks has been ""weighed in the balances and been found wanting"".",more,Sarcasm & Metaphor,Starbucks Ice,wp,weighed
376,49,f,Completed High School,In the middle,"Yes, English is my first language.",Inky the escape artist is as talented as Houdini.,more,Sarcasm,Inky the Octopus,compare,escape artist
379,28,f,Four-year college degree,In the middle,"Yes, English is my first language.",Ice ice baby or no ice if you please.,more,Sarcasm & Metaphor,Starbucks Ice,compare,she is vanilla ice
389,25,f,Four-year college degree,In the middle,"Yes, English is my first language.",I sure hope Starbucks's reaction to this isn't ice cold!,more,Sarcasm & Metaphor,Starbucks Ice,wp,ice cold
393,37,m,Master's or equivalent professional degree,In the middle,"Yes, English is my first language.",The judge and jury will now decide whether to put her case on ice.,more,Sarcasm & Metaphor,Starbucks Ice,wp,on ice
395,37,m,Four-year college degree,In the middle,"Yes, English is my first language.",Too much ice isn't nice?,more,Sarcasm & Metaphor,Starbucks Ice,wp,ice/nice
397,27,m,Master's or equivalent professional degree,In the middle,"Yes, English is my first language.","What would Harry Houdini look like as an animal? Well, an Octopus in a New Zealand Aquarium has proved that it is a true escape artist by slipping out of a 5-inch wide drainage pipe into the sea.",more,Sarcasm,Inky the Octopus,compare,escape artist
399,31,f,Four-year college degree,In the middle,"Yes, English is my first language.","I also have trouble remembering the difference between tall, grande, and venti.",more,Sarcasm & Metaphor,Starbucks Ice,irony,sarcasm
400,44,f,Master's or equivalent professional degree,In the middle,"Yes, English is my first language.","Tourists get ""inked"" at a New Zealand Aquarium.",equal,Sarcasm,Inky the Octopus,wp,inked
401,26,f,Four-year college degree,Near the bottom,"Yes, English is my first language.","Starbucks offered no comment, so I guess you could say they turned a cold shoulder to this situation.",more,Sarcasm & Metaphor,Starbucks Ice,wp,cold shoulder
408,29,m,Completed High School,In the middle,"Yes, English is my first language.","I would tell her she needs to chill out, but I'm afraid I might get sued.",more,Sarcasm & Metaphor,Starbucks Ice,wp,chill out
418,47,m,Four-year college degree,Near the bottom,"Yes, English is my first language.",Sounds like someone is getting the cold shoulder here.,more,Sarcasm & Metaphor,Starbucks Ice,wp,cold shoulder
419,25,f,Completed High School,Near the bottom,"Yes, English is my first language.",I guess that means it's a Cali-RUN-Eh?,equal,Sarcasm & Metaphor,Inky the Octopus,wp,cali-run-eh
421,53,m,Four-year college degree,In the middle,"Yes, English is my first language.",Never blinkie when you're supposed to be watching Inky.,more,Sarcasm & Metaphor,Inky the Octopus,wp,blinkie/inky
424,28,m,Four-year college degree,In the middle,"Yes, English is my first language.","Talk about an icy situation, a woman in Chicago is suing Starbucks for falsely claiming they actually have 24 ounces in their venti size iced coffees.",more,Sarcasm & Metaphor,Starbucks Ice,wp,icy
14,29,f,Four-year college degree,Near the top,"Yes, English is my first language.","Wow, I'm sure she'd be just as upset if her iced drink wasn't cold.",equal,Baseline,Starbucks Ice,irony,sarcasm
16,42,f,Master's or equivalent professional degree,In the middle,"Yes, English is my first language.",Watch out for the big octopus who can squeeze through small holes like a mouse!,more,Baseline,Inky the Octopus,compare,mouse
17,25,m,Completed High School,On the bottom,"Yes, English is my first language.","A woman in Chicago is tired of ice, what else is new?",more,Baseline,Starbucks Ice,irony,rhetorical
18,29,m,Four-year college degree,Near the bottom,"Yes, English is my first language.",It looks like Inky wants to star in the newest Ocean's eleven movie.,more,Baseline,Inky the Octopus,compare,escape artist
34,31,f,Completed High School,Near the bottom,"Yes, English is my first language.",Octopus escape artist just wants to go home,more,Metaphor,Inky the Octopus,compare,escape artist
34,31,f,Completed High School,Near the bottom,"Yes, English is my first language.",Does she know what ice is made of?,more,Baseline,Starbucks Ice,irony,rhetorical
37,33,f,Four-year college degree,In the middle,"Yes, English is my first language.","Wow, what a mad dash to the sea! Perhaps he consulted with Houdini in a past life?",more,Metaphor,Inky the Octopus,compare,escape artist
37,33,f,Four-year college degree,In the middle,"Yes, English is my first language.","Isn't ice frozen liquid? Well, saying 24 ounces isn't wrong, ha! Next up, woman complains that there is no ice in her iced drinks! News at 11.",more,Baseline,Starbucks Ice,irony,analogy
44,43,m,Completed High School,In the middle,"Yes, English is my first language.","Based on their drink portions, they should give her about 58% of that $5 million.",more,Baseline,Starbucks Ice,NA,NA
48,58,m,Completed High School,Near the bottom,"Yes, English is my first language.",Inky left without a trace... eraseable ink!,more,Metaphor,Inky the Octopus,wp,ink
49,44,m,Two-year college degree,In the middle,"Yes, English is my first language.",I think with all that ink there should be a paper trial.,more,Metaphor,Inky the Octopus,wp,ink
62,23,f,Completed High School,Near the bottom,"Yes, English is my first language.","This Chicago woman is apparently unaware that ice is made of liquid, and that iced drinks contain ice!",more,Baseline,Starbucks Ice,irony,sarcasm
71,28,f,Completed High School,Near the bottom,"Yes, English is my first language.",An Octopus at the New Zealand Aquarium is a successful escape artist.,less,Sarcasm,Inky the Octopus,compare,escape artist
77,34,f,Four-year college degree,Near the bottom,"Yes, English is my first language.","What a sneaky guy, just like on finding Dory.",equal,Sarcasm,Inky the Octopus,compare,finding nemo
94,55,f,Two-year college degree,In the middle,"Yes, English is my first language.",Wow! He must have been playing Octodad! Or Finding Nemo?,more,Sarcasm & Metaphor,Inky the Octopus,compare,octomom and nemo nemo
96,33,f,Completed High School,Near the bottom,"Yes, English is my first language.",Maybe this woman should've asked for her coffee shaken not stirred,more,Baseline,Starbucks Ice,compare,she is james bond
120,25,m,Completed High School,In the middle,"Yes, English is my first language.",A woman is actually going through with suing over ice in her coffee -- that's right! It appears she is claiming that 24-ounce coffees have only 14-ounces of liquid in them. What's next? Suing a 16.9 fl. oz bottle manufacturing company for having 16.88888889 fl. oz of liquid?,more,Metaphor,Starbucks Ice,irony,hyperbole
120,25,m,Completed High School,In the middle,"Yes, English is my first language.",It was then later spotted on a big bridge as it terrorizes the city in Cloverfield.,equal,Baseline,Inky the Octopus,compare,monster
143,33,m,Four-year college degree,In the middle,"Yes, English is my first language.",I think we've finally found the actor that played Hank in Finding Dory.,more,Metaphor,Inky the Octopus,compare,finding nemo
144,29,m,Four-year college degree,In the middle,"Yes, English is my first language.","OMG! inky winky octopops needs to be arrested, huge bounty money is on his head.",equal,Metaphor,Inky the Octopus,compare,prisoner
144,29,m,Four-year college degree,In the middle,"Yes, English is my first language.",Surely that lady is a walking item scale.,less,Metaphor,Starbucks Ice,irony + compare,sarcasm
151,52,f,Four-year college degree,Near the top,"Yes, English is my first language.",I think that people that live around the aquarium ought to keep their eyes open for slithering slimy intruders,more,Metaphor,Inky the Octopus,compare,monster
163,28,f,Completed High School,Near the bottom,"Yes, English is my first language.","Next thing you know, squids will be inciting prison riots with shanks made out of coral.",more,Sarcasm,Inky the Octopus,compare,prisoner
165,24,m,Completed High School,Near the bottom,"Yes, English is my first language.",A woman has decided to get bold and sue Starbucks over ice.,equal,Metaphor,Starbucks Ice,wp,bold
175,46,m,Master's or equivalent professional degree,In the middle,"Yes, English is my first language.","Well she obviously sees the cup as ""half empty!""",more,Metaphor,Starbucks Ice,wp,half empty
189,53,f,Two-year college degree,In the middle,"Yes, English is my first language.",When your ice comes with just a little coffee in it.,equal,Metaphor,Starbucks Ice,NA,NA
193,40,m,Completed High School,In the middle,"Yes, English is my first language.",She should be greatful that starbucks isn't charging $5 extra dollars for the 10 ounces of ice that are included in the drink,more,Metaphor,Starbucks Ice,irony,hyperbole
199,31,m,Four-year college degree,In the middle,"Yes, English is my first language.","An octopus in New Zealand has changed professions, moving from aquarium exhibit to cat burgler. The octopus managed a daring escape by opening his tank, hiding from security, and escaping to the ocean via a drain pipe.",more,Sarcasm & Metaphor,Inky the Octopus,compare,escape artist
200,34,f,Four-year college degree,In the middle,"Yes, English is my first language.",The story of Dory in real life. An Octopus has escaped aquarium security.,more,Sarcasm & Metaphor,Inky the Octopus,compare,finding nemo
202,49,f,Four-year college degree,Near the bottom,"Yes, English is my first language.",GO INKY! They should have known they are great escape artists.,more,Sarcasm & Metaphor,Inky the Octopus,compare,escape artist
207,42,m,Four-year college degree,Near the bottom,"Yes, English is my first language.","Ladies and gentlemen, the limbo king of the world!",more,Sarcasm & Metaphor,Inky the Octopus,compare,limbo
214,40,m,Completed High School,Near the bottom,"Yes, English is my first language.","Run, Inky, run!",more,Baseline,Inky the Octopus,compare,inky is forrest gump
215,27,m,Four-year college degree,In the middle,"Yes, English is my first language.",Deep sea creature escapes enclosure through ingenues method scientist are baffle! Should we be worried? Is this the Dawn of the Octopus descending on mankind?,more,Baseline,Inky the Octopus,compare,monster
220,35,m,Two-year college degree,Near the bottom,"Yes, English is my first language.",I guess he was an escape artist.,less,Baseline,Inky the Octopus,compare,escape artist
226,44,f,Two-year college degree,In the middle,"Yes, English is my first language.",An escape plan has been hatched by one octopus from the National Aquarium of New Zealand.,more,Baseline,Inky the Octopus,NA,NA
242,37,m,Two-year college degree,On the bottom,"Yes, English is my first language.",To get ice or not to get ice...,more,Sarcasm,Starbucks Ice,wp,to be or not to be
246,36,f,Master's or equivalent professional degree,In the middle,"Yes, English is my first language.","Move over, David Copperfield and Criss Angel! With talents like that, Inky just might be ready to star in his own Las Vegas magic show!",more,Metaphor,Inky the Octopus,compare,magician
257,42,f,Four-year college degree,In the middle,"Yes, English is my first language.",I wonder if he left a goodbye note in invisible ink!,more,Metaphor,Inky the Octopus,compare,escape artist
